id,total,creation_data,client_id,seller_id
1,500.00,2021-01-01 10:00:00,1,2
2,1000.00,2021-01-02 12:00:00,2,1
3,250.00,2021-01-03 15:00:00,3,1
4,800.00,2021-01-04 09:00:00,4,3
5,1200.00,2021-01-05 14:00:00,5,3
6,300.00,2021-01-06 11:00:00,6,4
7,100.00,2021-01-07 13:00:00,7,4
8,500.00,2021-01-08 16:00:00,8,5
9,150.00,2021-01-09 10:00:00,9,5
10,250.00,2021-01-10 12:00:00,10,6
11,80.00,2021-01-11 15:00:00,11,6
12,400.00,2021-01-12 09:00:00,12,7
13,40.00,2021-01-13 14:00:00,13,7
14,120.00,2021-01-14 11:00:00,14,8
15,200.00,2021-01-15 13:00:00,15,8
16,600.00,2021-01-16 16:00:00,16,9
17,150.00,2021-01-17 10:00:00,17,9
18,800.00,2021-01-18 12:00:00,18,10
19,1000.00,2021-01-19 15:00:00,19,10
20,300.00,2021-01-20 09:00:00,20,1
